,Date,Title,Views,Likes,Comments,Month,Month_Number
0,2023-01-17 12:30:08+00:00,Reviewing Maven Analytics Free Portfolio Website,10057,393,37,January,1
1,2023-01-16 17:25:08+00:00,5 Study Hacks for Beginner Data Analysts! | Live Webinar,11832,587,18,January,1
2,2023-01-10 12:30:03+00:00,DIY Data Analyst Curriculum using Coursera in 2023,26244,1588,184,January,1
3,2023-01-03 12:30:12+00:00,Building a BMI Calculator with Python | Python Projects for Beginners,5602,179,27,January,1
4,2022-12-27 13:00:00+00:00,"Reading, Writing, and Appending Files in Python | Python for Beginners",3653,144,10,December,12
5,2022-12-20 12:00:33+00:00,Why I Quit my 125k Analytics Job,104507,5944,753,December,12
6,2022-12-17 14:16:05+00:00,Data Analyst Q/A Livestream + Special Guest! | December Livestream,4316,158,16,December,12
7,2022-12-13 12:00:06+00:00,Converting Data Types in Python | Python for Beginners,3225,115,17,December,12
8,2022-12-06 12:00:36+00:00,Functions in Python | Python for Beginners,3864,153,22,December,12
9,2022-11-29 12:00:07+00:00,While Loops in Python | Python for Beginners,2938,114,13,November,11
10,2022-11-22 12:00:48+00:00,For Loops in Python | Python for Beginners,3671,125,18,November,11
11,2022-11-16 02:06:22+00:00,Data Analyst Q/A Livestream | November Livestream,4964,185,18,November,11
12,2022-11-15 12:00:00+00:00,If Else Statements in Python | Python for Beginners,3144,128,19,November,11
13,2022-11-08 12:00:35+00:00,"Comparison, Logical, and Membership Operators in Python | Python for Beginners",3160,121,11,November,11
14,2022-11-01 11:00:37+00:00,Data Types in Python | Python for Beginners,6708,258,31,November,11
15,2022-10-31 01:22:29+00:00,Data Analyst Q/A Livestream | October Livestream,5206,176,17,October,10
16,2022-10-25 11:00:27+00:00,Variables in Python | Python for Beginners,7064,282,23,October,10
17,2022-10-19 10:56:23+00:00,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,5171,247,23,October,10
18,2022-10-18 11:00:30+00:00,Installing Jupyter Notebooks/Anaconda | Python for Beginners,14868,586,46,October,10
19,2022-10-13 11:00:07+00:00,Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,7530,278,19,October,10
20,2022-10-11 11:00:42+00:00,Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,5982,288,31,October,10
21,2022-10-04 10:30:09+00:00,When Best Friends Work Together (ft. Luke Barousse),12946,602,79,October,10
22,2022-10-01 01:48:31+00:00,Data Analyst Live Stream | Riding out Hurricane Ian,6313,206,14,October,10
23,2022-09-27 10:30:19+00:00,Full Power BI Guided Project | Microsoft Power BI for Beginners,39988,1070,119,September,9
24,2022-09-20 10:30:00+00:00,Popular Visualizations in Power BI | Microsoft Power BI for Beginners,11071,377,23,September,9
25,2022-09-13 10:30:00+00:00,"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",35542,1572,123,September,9
